ID Registro,Núcleo temático,Categoria,Título padronizado,Link da imagem,Descrição objetiva,Material / suporte,Características visuais,Data / período
GROSS-001,Comunicação e Imaginário Médico,Publicidade farmacêutica,Heparegene – anúncio de hepatoprotetor,imagens/GROSS001.jpeg,"Peça publicitária do medicamento Heparegene, com argumento de autoridade laboratorial e associação visual entre o fígado humano e o universo técnico-científico.",Impresso publicitário,"Composição gráfica com ilustração anatômica estilizada, tipografia destacada e embalagem do produto.",década de 1980
GROSS-002,Comunicação e Imaginário Médico,Publicidade farmacêutica,Atroveran – anúncio institucional de produto,imagens/GROSS002.jpg,"Peça publicitária do medicamento Airoveran, com ênfase em reputação, confiança e sucesso terapêutico.",Impresso publicitário,"Fotografia de embalagem, frasco e conta-gotas, com fundo escuro e tipografia em alto contraste.",década de 1970
GROSS-003,Comunicação e Imaginário Médico,Publicidade farmacêutica,Ozonyl Expectorante – anúncio publicitário,imagens/GROSS003.jpeg,"Peça publicitária do medicamento Ozonyl Expectorante, associando natureza, fluidez e ação terapêutica respiratória.",Impresso publicitário,Ilustração de frasco com paisagem natural no interior e composição gráfica simbólica.,década de 1970
GROSS-004,Comunicação e Imaginário Médico,Publicidade farmacêutica,Vagostesyl – anúncio publicitário,imagens/GROSS004.jpeg,"Peça publicitária do medicamento Vagostesyl, destacando seu efeito calmante e sua associação com elementos naturais brasileiros.",Impresso publicitário,"Fotografia de frutos e folhas sobre fundo escuro, com tipografia institucional.",década de 1970
GROSS-005,Memória Institucional,Peça comemorativa,Laboratório Gross Cinquentenário,imagens/GROSS005.jpeg,"Peça gráfica institucional comemorativa dos 50 anos do Laboratório Gross, enfatizando identidade visual e longevidade da marca.",Impresso gráfico,"Fundo vermelho, grafismo circular com serpente estilizada e tipografia centralizada.",década de 1990
GROSS-006,Memória Institucional,Registro institucional,Fotografia de evento institucional com estande de produtos,imagens/GROSS006.jpg,"Registro fotográfico de evento institucional do Laboratório Gross, com apresentação de produtos, estande expositivo e equipe.",Fotografia,Imagem em preto e branco de montagem expositiva com painéis e mesas de divulgação.,s.d.
GROSS-007,Memória Institucional,Registro social,Fotografia de grupo em atividade social ou comunitária,imagens/GROSS007.jpg,"Registro fotográfico de grupo com crianças e adultos, possivelmente vinculado a ação social, comunitária ou institucional relacionada ao laboratório.",Fotografia,Imagem em preto e branco com grupo posicionado ao ar livre.,s.d.
GROSS-008,Memória Institucional,Registro institucional,Fotografia de cerimônia ou premiação interna,imagens/GROSS008.jpg,"Registro fotográfico de cerimônia formal associada ao Laboratório Gross, com presença de equipe e possível premiação ou homenagem.",Fotografia,Imagem em preto e branco com moldura gráfica e composição centralizada.,s.d.
GROSS-009,Memória Institucional,Registro institucional,Fachada da fábrica do Laboratório Gross,imagens/GROSS009.jpg,"Registro da fachada da unidade fabril do Laboratório Gross no Rio de Janeiro, evidenciando sua inserção urbana e sua materialidade arquitetônica.",Fotografia,Fotografia em preto e branco de edifício industrial com identificação da fábrica.,s.d.
GROSS-010,Memória Institucional,Documento societário,"Certificado de ações – Laboratório Brasileiro de Quimioterapia, Produtos Laboterápicos S.A.",imagens/GROSS010.jpg,"Certificado representativo de ações da empresa, com informações de capital social, titularidade e formalização societária.",Documento impresso,"Moldura ornamental, tipografia formal e preenchimento manuscrito.",1945
GROSS-011,Memória Institucional,Documento cartorial,Certidão do 14º Ofício de Notas referente ao Laboratório Gross S.A.,imagens/GROSS011.jpeg,"Documento cartorial referente a escritura envolvendo o Laboratório Gross S.A., com identificação de partes, livro, folhas e data de registro.",Documento impresso,"Tipografia formal, carimbo institucional e campos preenchidos manualmente.",1952
GROSS-012,Memória Institucional,Documento societário,Título múltiplo de ações – Laboratório Gross S.A.,imagens/GROSS012.jpg,"Documento acionário representativo da estrutura societária do Laboratório Gross S.A., com indicação de número de ações e capital integralizado.",Documento impresso,"Moldura gráfica, tipografia formal e preenchimento manuscrito.",1946
GROSS-013,Memória Institucional,Correspondência institucional,Carta comercial do Laboratório Gross,imagens/GROSS013.jpg,"Correspondência institucional do Laboratório Gross tratando de assuntos comerciais, internacionais e administrativos da empresa.",Documento impresso,Texto datilografado em papel timbrado com assinatura manuscrita.,1954
GROSS-014,Memória Institucional,Documento societário,Certificado de ações com cupons destacáveis – Laboratório Gross S.A.,imagens/GROSS014.jpg,Documento societário com cupons destacáveis vinculados ao rendimento ou controle de ações do Laboratório Gross S.A.,Documento impresso,Peça gráfica com moldura decorativa e área destacável em módulos.,1946
GROSS-015,Memória Institucional,Documento jurídico,Certidão de constituição da sociedade Laboratório Gross Ltda.,imagens/GROSS015.jpg,"Documento de natureza cartorial referente à constituição da sociedade Laboratório Gross Ltda., com identificação dos sócios fundadores e dados legais.",Documento impresso,"Texto datilografado, marcas de envelhecimento e dobra do papel.",1941
GROSS-016,Memória Institucional,Documento jurídico,Averberação Barão de Itamby,imagens/GROSS016.jpg,Certidão emitida pelo 3º Ofício do Registro Geral de Imóveis da Capital Federal que atesta a transcrição e regularização de terreno vinculado a Fernando Gross.,Documento impresso,"Papel envelhecido com marcas de oxidação, presença do brasão da República no topo, tipografia datilografada, carimbos oficiais, selos fiscais e assinaturas manuscritas na base do documento",1940
GROSS-017,Comunicação e Imaginário Médico,Publicação técnica,Página de análises clínicas do Laboratório Gross,imagens/GROSS017.jpg,"Página técnica ou editorial apresentando o setor de análises clínicas do Laboratório Gross, seus responsáveis e serviços laboratoriais oferecidos.",Impresso editorial,Diagramação em colunas com bloco informativo destacado na base da página.,década de 1930
GROSS-018,Memória Institucional,Placa institucional,Placa do Sindicato da Indústria de Produtos Farmacêuticos do Rio de Janeiro,imagens/GROSS018.jpg,"Placa metálica institucional vinculada ao sindicato da indústria farmacêutica, associada à presença e reconhecimento institucional do laboratório no setor.",Metal,Placa metálica com tipografia gravada e fixação por parafusos.,s.d.
GROSS-019,Memória Institucional,Retrato institucional,Fernando Gross – retrato oficial,imagens/GROSS019.jpg,"Retrato fotográfico de Fernando Gross, figura central na fundação e consolidação do laboratório.",Fotografia,Retrato em sépia com vestimenta formal e enquadramento clássico.,s.d.
GROSS-020,Memória Institucional,Retrato institucional,Renato Gross – retratos acadêmicos,imagens/GROSS020.jpg,"Conjunto de retratos acadêmicos de Renato Glech Gross, evidenciando formação profissional e trajetória ligada à história institucional do laboratório.",Fotografia,Imagens em preto e branco com trajes acadêmicos e legendas de identificação.,1939
GROSS-021,Comunicação e Imaginário Médico,Publicidade farmacêutica,Phosphargyrio – anúncio antissifilítico,imagens/GROSS021.jpg,"Peça publicitária de medicamento injetável indicado para o tratamento da sífilis, enfatizando eficácia e caráter terapêutico.",Impresso publicitário,"Design gráfico modernista em preto e branco, com tipografia condensada e composição vertical.",década de 1930
GROSS-022,Comunicação e Imaginário Médico,Publicação científica,Revista Vida Médica Ano 1 v.1,imagens/GROSS022.jpg,Capa ou página de publicação científica Vida Médica contendo anúncio do medicamento Phosphobismol e associação entre produção editorial e promoção farmacêutica.,Impresso editorial,Capa tipográfica com inserção publicitária central.,1931
GROSS-023,Comunicação e Imaginário Médico,Publicidade farmacêutica,Atroveran e Biokola – página de anúncios terapêuticos,imagens/GROSS023.jpg,"Página com anúncios dos medicamentos Atroveran e Biokola, apresentando indicações clínicas, composição e modo de uso.",Impresso publicitário,Layout tipográfico com blocos textuais e destaque para nomes comerciais.,década de 1930
GROSS-024,Memória Institucional,Documento acadêmico,Diploma de Fernando Gross da Faculdade de Ciências Jurídicas e Sociais,imagens/GROSS024.jpg,"Diploma acadêmico emitido no Rio de Janeiro, representando formação superior associada a agentes ligados à trajetória institucional do laboratório.",Documento impresso,"Certificado com moldura ornamental, tipografia clássica e preenchimento manuscrito.",1905
GROSS-025,Memória Institucional,Documento acadêmico,Diploma da Faculdade de Medicina Carlos Gross,imagens/GROSS025.jpg,"Documento oficial de formação médica com chancela imperial, evidenciando a base científica e profissional vinculada aos fundadores da empresa.",Documento impresso,"Certificado com brasão imperial, borda decorativa e tipografia formal.",1884
GROSS-026,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Síndrome do pânico e neuropatia,imagens/GROSS026.jpg,"Capa da revista institucional Vidamédica abordando síndrome do pânico, paranoia urbana e neuropatia, articulando informação em saúde e comunicação editorial.",Revista impressa,"Fundo azul, imagem de olho em destaque e chamadas sobre saúde mental e neurologia.",2001
GROSS-027,Cultura Material Farmacêutica,Frasco farmacêutico,Hidrion – frasco de medicamento,imagens/GROSS027.png,"Frasco de medicamento Hidrion, representativo da materialidade farmacêutica do laboratório.",Vidro e tampa plástica,"Frasco âmbar de formato baixo e largo, com rótulo circular amarelo.",
GROSS-028,Cultura Material Farmacêutica,Frasco farmacêutico,Vagostesyl – frasco de drágeas,imagens/GROSS028.png,"Frasco do medicamento Vagostesyl em apresentação de drágeas, com identificação visual da marca e do produto.","Vidro, tampa plástica e rótulo",Frasco cilíndrico âmbar com rótulo vermelho e tampa branca.,
GROSS-029,Cultura Material Farmacêutica,Frasco farmacêutico,Sepurin – frasco de medicamento,imagens/GROSS029.png,"Frasco de medicamento Sepurin, representativo do portfólio de produtos do laboratório.",Vidro e tampa plástica,Frasco âmbar de formato arredondado com rótulo circular amarelo.,
GROSS-030,Cultura Material Farmacêutica,Frasco farmacêutico,Kiatrium AD – frasco de medicamento,imagens/GROSS030.png,"Frasco de medicamento Kiatrium AD, integrante do conjunto de embalagens e apresentações farmacêuticas do laboratório.",Vidro e tampa plástica,Frasco âmbar com rótulo circular amarelo e tampa marrom.,
GROSS-031,Cultura Material Farmacêutica,Frasco farmacêutico,Obstipan – frasco de medicamento,imagens/GROSS031.png,"Frasco de medicamento Obstipan, representativo da linha de apresentações comerciais do Laboratório Gross.",Vidro e tampa plástica,Frasco âmbar com rótulo circular amarelo e tampa escura.,
GROSS-032,Cultura Material Farmacêutica,Ampola farmacêutica,Ozonil Aquoso – ampola injetável,imagens/GROSS032.png,"Ampola injetável do medicamento Ozonil Aquoso, evidenciando formato de apresentação farmacêutica para uso intramuscular.",Vidro,Ampola verde translúcida com inscrição impressa diretamente no corpo.,
GROSS-033,Cultura Material Farmacêutica,Embalagem farmacêutica,Vagostesyl – caixa de drágeas,imagens/GROSS033.png,"Embalagem comercial do medicamento Vagostesyl, com orientações de venda sob prescrição médica e dados de lote e validade.",Papel cartão,Caixa retangular em tons de vermelho e laranja com logomarca Gross.,1998–2002
GROSS-034,Arqueologia industrial,Placa institucional,Placa metálica Laboratório Gross S.A.,imagens/GROSS034.png,"Placa metálica de identificação institucional do Laboratório Gross S.A., associada à presença física da empresa em espaço fabril ou administrativo.",Metal,"Placa metálica com tipografia inclinada, serpente estilizada e fixação por parafusos.",s.d.
GROSS-035,Arqueologia industrial,Maquinário industrial,Máquina de envase ou selagem de ampolas – detalhe com aquecimento,imagens/GROSS035.png,Registro fotográfico de detalhe de máquina industrial utilizada no envase ou selagem de ampolas farmacêuticas.,Fotografia de maquinário,"Estrutura metálica com fonte de calor alaranjada, guias mecânicas e componentes industriais.",s.d.
GROSS-036,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – A Saúde no País do Real,imagens/GROSS036.jpeg,"Capa da revista Vidamédica abordando saúde pública, economia e atendimento no contexto brasileiro dos anos 1990.",Revista impressa,"Composição com estetoscópio, cédula de dinheiro, cartela de remédios e embalagem de produto Gross.",1994
GROSS-037,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – A Medicina que dá Certo,imagens/GROSS037.jpeg,"Capa da revista Vidamédica voltada para medicina hepática, formação médica e experiências de excelência institucional.",Revista impressa,Imagem de conjunto arquitetônico em perspectiva com chamadas editoriais.,1994
GROSS-038,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Intercâmbio eleva padrões de qualidade,imagens/GROSS038.jpeg,"Capa da revista Vidamédica abordando Mercosul, vigilância sanitária e intercâmbio técnico na indústria farmacêutica.",Revista impressa,Ilustração de frasco com mapa geográfico e chamadas sobre qualidade e políticas públicas.,1995
GROSS-039,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Como fica a saúde?,imagens/GROSS039.jpg,"Capa da revista Vidamédica sobre mudanças na saúde no fim dos anos 1990, articulando economia, medicina e sistema de saúde.",Revista impressa,"Composição com notas de dinheiro, gráfico cardíaco, medicamentos e imagem cirúrgica sob mira gráfica.",1999
GROSS-040,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – TPM: um período difícil para as mulheres,imagens/GROSS040.jpg,"Capa da revista Vidamédica dedicada à tensão pré-menstrual, vitaminas e saúde da mulher.",Revista impressa,Fotomontagem de rosto feminino segmentado em quadrantes com chamada principal em destaque.,1999
GROSS-041,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – 2000 e o novo milênio,imagens/GROSS041.jpg,"Capa da revista Vidamédica de fim de milênio, com temas sobre humanização médica, infância, bem-estar e inteligência.",Revista impressa,"Composição com planeta Terra, brilho solar e tipografia de grande escala com o número 2000.",1999
GROSS-042,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Mulher atleta e coração,imagens/GROSS042.jpg,"Capa da revista Vidamédica sobre esporte feminino, efeitos do exercício sobre a menstruação e condicionamento cardiovascular.",Revista impressa,Fotografia de atleta suada com toalha e chamadas sobre saúde da mulher e cardiologia.,2000
GROSS-043,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Tecnologia biônica e artrose,imagens/GROSS043.jpg,"Capa da revista Vidamédica sobre ortopedia, próteses e qualidade de vida em contextos de reabilitação.",Revista impressa,Fotografia de homem com prótese mecânica caminhando em ambiente corporativo.,2000
GROSS-044,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Ligamentos flexíveis e resistência bacteriana,imagens/GROSS044.jpg,"Capa da revista Vidamédica abordando flexibilidade ligamentar, corpo em movimento e resistência bacteriana a antibióticos.",Revista impressa,Imagem de corpo em salto sobre fundo escuro e inserção circular com cápsulas.,2000
GROSS-045,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Transplantado: a alegria de nascer de novo,imagens/GROSS045.jpg,"Capa da revista Vidamédica dedicada a transplante, renovação da vida e resistência bacteriana.",Revista impressa,"Fotografia de homem sorridente na água, com peças de quebra-cabeça e inserção circular de cápsulas.",2000
GROSS-046,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Parar de fumar: um conselho de coração,imagens/GROSS046.jpg,Capa da revista Vidamédica dedicada ao combate ao tabagismo e à hipertensão arterial.,Revista impressa,Imagem de cigarro sendo cortado por tesoura e chamada em tipografia de alto contraste.,2000
GROSS-047,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Câncer de próstata e terceira idade,imagens/GROSS047.jpg,Capa da revista Vidamédica sobre prevenção do câncer de próstata e saúde na terceira idade.,Revista impressa,Fotografia em close de homem com tratamento visual sóbrio e inserção circular com idosos.,2000
GROSS-048,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Enxaqueca cervical e problemas no joelho,imagens/GROSS048.jpg,"Capa da revista Vidamédica sobre postura, tensão emocional e impactos ortopédicos em atletas.",Revista impressa,Fotografia de corpo inclinado com foco na coluna e inserção circular de ciclista.,2000
GROSS-049,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Ejaculação precoce e bioética,imagens/GROSS049.jpg,Capa da revista Vidamédica tratando de saúde sexual masculina e debate bioético.,Revista impressa,Fotografia de casal em tensão emocional com inserção circular de feto em recipiente.,2000
GROSS-050,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – O mundo de joelhos,imagens/GROSS050.jpg,"Capa da revista Vidamédica sobre articulações, joelhos e ortopedia, com abordagem de cotidiano e saúde.",Revista impressa,Fotografia de corpo com joelho destacado em vermelho e inserção circular de salto alto.,2000
GROSS-051,Comunicação e Imaginário Médico,Revista institucional,Vidamédica – Música terapêutica e criatividade,imagens/GROSS051.jpg,"Capa da revista Vidamédica sobre música terapêutica, relaxamento e criatividade.",Revista impressa,Fotomontagem de cachoeira com pauta musical e inserção circular de atividade artística.,2000